name,category,description,address,area,latitude,longitude,openingHours,entryFee,bestTimeToVisit,duration,amenities,rating,tags
VOC Park & Zoo,zoo,"A public zoological garden located in the center of Coimbatore city with various animals and recreational facilities.",VOC Park, Avinashi Road,Upplipalayam,11.0168,76.9558,"9:00 AM - 6:00 PM","₹30 for adults, ₹10 for children","9 to 11 AM or 3 to 5 PM","2-3 hours","Parking|Food Court|Children's Play Area|Restrooms",4.2,"family|children|animals|recreation"
G.D. Naidu Museum,museum,"Museum showcasing inventions by Gopalswamy Doraiswamy Naidu, known as the Edison of India, with various scientific devices and gadgets.",G.D. Naidu Road, Avinashi Road,Peelamedu,11.0256,76.9669,"10:00 AM - 5:30 PM",Free,Weekdays,"1-2 hours","Parking|Guided Tours|Library",4.5,"science|technology|education|history"
Perur Pateeswarar Temple,temple,"Ancient Hindu temple dedicated to Lord Shiva, built in the 9th century with beautiful sculptures and architecture.",Perur Temple Road,Perur,10.9706,76.9297,"6:00 AM - 12:30 PM, 4:00 PM - 8:00 PM",Free,"6 to 8 AM or 4 to 6 PM","1-2 hours","Parking|Prasad Counter|Shoe Stand",4.7,"religious|ancient|architecture|spiritual"
Marudhamalai Murugan Temple,temple,"Hilltop temple dedicated to Lord Murugan, offering panoramic views of Coimbatore city and surrounding areas.",Marudhamalai Hill,Marudhamalai,11.0486,76.8789,"6:00 AM - 8:00 PM",Free,"6 to 8 AM or 5 to 6 PM","2-3 hours","Parking|Prasad Counter|Steps and Rope Car",4.6,"religious|hill|scenic|spiritual"
Regional Science Centre,museum,"Interactive science museum with hands-on exhibits, 3D theatre, and planetarium for educational entertainment.",Near CODISSIA Trade Fair Complex, Avinashi Road,Peelamedu,11.0289,76.9723,"10:00 AM - 6:00 PM","₹50 for adults, ₹30 for children",Weekdays,"3-4 hours","Parking|Food Court|Gift Shop|3D Theatre",4.4,"science|education|interactive|children"
Botanical Garden,park,"Established in 1925 and administered by Tamil Nadu Agricultural University, spread over 300 hectares with diverse plant species.",Tamil Nadu Agricultural University Campus,Coimbatore,11.0278,76.9256,"8:00 AM - 6:00 PM",Free,"6 to 8 AM or 4 to 6 PM","2-3 hours","Parking|Walking Trails|Benches|Greenhouse",4.3,"nature|plants|education|photography"
Gandhi Park,park,"More than a hundred years old public park spread over 5.25 acres with gardens, walking track, and play area.",R.S. Puram,R.S. Puram,11.0045,76.9612,"5:00 AM - 9:00 AM, 4:00 PM - 8:00 PM",Free,"6 to 8 AM or 4 to 6 PM","1-2 hours","Walking Track|Children's Play Area|Yoga Center|Fountains",4.1,"park|recreation|walking|family"
Valankulam Lake Boat House,boat_house,"Scenic boating facility on Valankulam Lake with pedal boats and rowing boats for recreational activities.",Ukkadam to Sungam Bypass Road,Ukkadam,10.9923,76.9567,"10:00 AM - 6:00 PM","₹50-100 per boat","4 to 6 PM","1-2 hours","Boating|Parking|Snack Stall|Seating Area",3.8,"boating|lake|recreation|scenic"
Gass Forest Museum,museum,"Established in 1902, this forestry museum houses embalmed specimens of rare species and showcases forest cultivation methods.",Forest College Campus,R.S. Puram,11.0089,76.9456,"10:00 AM - 5:00 PM",Free,Weekdays,"1-2 hours","Parking|Guided Tours",4.2,"forest|wildlife|education|nature"
Vaideki Falls,waterfall,"Beautiful waterfall situated in the outskirts of Coimbatore, about 35 km from the city center.",Narashipuram Road,Narashipuram,10.8978,76.9123,"9:00 AM - 5:00 PM","₹20 per person","7 to 9 AM or after monsoon","3-4 hours","Parking|Changing Rooms|Food Stalls",4.0,"waterfall|nature|trekking|scenic"
Sengupathi Falls,waterfall,"Scenic waterfall located 35 km from Coimbatore, perfect for nature lovers and photography enthusiasts.",Sengupathi Road,Sengupathi,10.8567,76.8345,"8:00 AM - 5:00 PM",Free,"7 to 9 AM or after monsoon","2-3 hours","Parking|Basic Facilities",3.9,"waterfall|nature|photography|trekking"
Kasthuri Sreenivasan Art Gallery & Textile Museum,art_gallery,"Houses an art gallery, textile museum, auditorium, and library showcasing Coimbatore's textile heritage.",Avinashi Road,Peelamedu,11.0234,76.9678,"10:00 AM - 6:00 PM","₹20 for adults, ₹10 for children",Weekdays,"1-2 hours","Parking|Library|Auditorium",4.1,"art|textile|culture|history"
Tamil Nadu Police Museum,museum,"Showcases state police history with collection of arms, uniforms, and other artifacts opened in 2018.",Police Headquarters,Race Course,11.0123,76.9789,"10:00 AM - 5:00 PM",Free,Weekdays,"1 hour","Parking|Guided Tours",4.0,"police|history|education|government"
Aliyar Dam Park,park,"Beautiful park near Aliyar Dam with scenic views, gardens, and recreational facilities.",Aliyar Dam Road,Aliyar, Pollachi,10.6234,76.9456,"9:00 AM - 6:00 PM","₹10 per person","4 to 6 PM","2-3 hours","Parking|Children's Play Area|Food Stalls|View Points",4.2,"dam|park|scenic|family"
Town Hall,historical,"Heritage building built in 1882 in honor of Queen Victoria, now part of Coimbatore Corporation Administrative Buildings.",Town Hall Road,Big Bazaar,11.0012,76.9634,"9:00 AM - 5:00 PM",Free,Weekdays,"30 minutes",Parking,4.3,"historical|heritage|architecture|government"
Eachanari Vinayagar Temple,temple,"Famous temple dedicated to Lord Ganesha with a large idol and beautiful architecture.",Trichy Road,Eachanari,10.9876,77.0123,"5:30 AM - 12:30 PM, 4:00 PM - 9:00 PM",Free,"6 to 8 AM or 4 to 6 PM","1 hour","Parking|Prasad Counter|Shoe Stand",4.5,"religious|ganesh|spiritual|popular"
Singanallur Lake,lake,"Large lake in Coimbatore known for bird watching and scenic views, especially during migratory season.",Singanallur,Singanallur,11.0234,76.9876,"6:00 AM - 6:00 PM",Free,"6 to 8 AM or 4 to 6 PM","1-2 hours","Walking Path|Benches|Bird Watching Points",3.7,"lake|birds|nature|photography"
Brookfields Mall,shopping,"Premium shopping mall with international brands, food court, and entertainment facilities.",Trichy Road,R.S. Puram,11.0098,76.9654,"10:00 AM - 10:00 PM",Free,"2 to 6 PM or 6 to 8 PM","2-3 hours","Parking|Food Court|Cinema|Restrooms",4.4,"shopping|entertainment|food|brands"
Fun Republic Mall,shopping,"Popular shopping destination with retail stores, multiplex cinema, and dining options.",Avanashi Road,Peelamedu,11.0345,76.9765,"10:00 AM - 10:00 PM",Free,"6 to 8 PM","2-3 hours","Parking|Food Court|Cinema|Gaming Zone",4.2,"shopping|cinema|entertainment|food"
Black Thunder Theme Park,amusement,"Popular water theme park with thrilling rides, water slides, and entertainment for all age groups.",Ooty Road,Metupalayam,11.2987,76.9345,"10:00 AM - 6:00 PM","₹800-1200 per person",Weekdays,"Full day","Parking|Food Court|Changing Rooms|Lockers",4.1,"water park|rides|family|entertainment"
Kovai Kondattam Amusement Park,amusement,"Family-friendly amusement park with water rides, dry rides, and recreational activities.",Perur Road,Perur,10.9876,76.9234,"10:30 AM - 6:30 PM","₹500-800 per person",Weekdays,"4-5 hours","Parking|Food Court|Changing Rooms",3.8,"amusement|water rides|family|entertainment"
Parambikulam Tiger Reserve,wildlife,"Tiger reserve and wildlife sanctuary with diverse flora and fauna, offering safari experiences.",Parambikulam Road,Parambikulam, Pollachi,10.2847,76.7345,"7:00 AM - 6:00 PM","₹200-500 per person","6 to 9 AM or 3 to 5 PM","Full day","Safari|Boating|Trekking|Forest Rest House",4.6,"wildlife|tiger|safari|nature"
Topslip Tiger Reserve,wildlife,"Part of Indira Gandhi Wildlife Sanctuary, known for elephant sightings and rich biodiversity.",Topslip Road,Topslip, Pollachi,10.4567,76.8234,"6:00 AM - 5:00 PM","₹150-300 per person","6 to 8 AM or 3 to 5 PM","Full day","Elephant Safari|Trekking|Forest Bungalow",4.5,"wildlife|elephant|safari|forest"
Palakkad Fort,historical,"Historic fort built by Hyder Ali in 1766, offering panoramic views of Palakkad town.",Fort Road,Palakkad, Kerala,10.7654,76.6543,"8:00 AM - 6:00 PM",Free,"8 to 10 AM or 4 to 6 PM","1-2 hours","Parking|Museum|Gardens|View Points",4.4,"historical|fort|heritage|kerala"
Malampuzha Dam Park,park,"Popular tourist spot near Palakkad with beautiful gardens, boating, and amusement park.",Malampuzha Road,Palakkad, Kerala,10.8234,76.6876,"10:00 AM - 6:00 PM","₹20 per person","4 to 6 PM","3-4 hours","Boating|Gardens|Ropeway|Children's Park",4.3,"dam|park|gardens|boating"
Silent Valley National Park,national_park,"UNESCO World Heritage site with pristine rainforest and rare endemic species.",Mukkali,Palakkad, Kerala,11.1234,76.4567,"8:00 AM - 4:00 PM","₹100-200 per person","8 to 10 AM","Full day","Trekking|Forest Rest House|Research Center",4.7,"national park|unesco|rainforest|biodiversity"
Coonoor Tea Gardens,tea_garden,"Scenic tea plantations offering guided tours and tea tasting experiences.",Coonoor,Nilgiris,11.3456,76.8234,"9:00 AM - 5:00 PM","Free entry","10 to 12 PM or 3 to 4 PM","2-3 hours","Tea Tasting|Guided Tours|Photography|Shopping",4.5,"tea|gardens|scenic|nilgiris"
Doddabetta Peak,viewpoint,"Highest peak in the Nilgiri Mountains offering panoramic views of surrounding valleys.",Ooty,Nilgiris,11.3789,76.7123,"7:00 AM - 6:00 PM","₹20 per person","7 to 9 AM or 4 to 6 PM","1-2 hours","Telescope|Viewing Deck|Parking|Snack Stall",4.4,"viewpoint|mountain|scenic|nilgiris"
Ooty Botanical Gardens,botanical_garden,"55-acre botanical garden with diverse plant species, fossil tree, and glass house.",Ooty,Nilgiris,11.3987,76.7345,"7:00 AM - 6:30 PM","₹30 for adults, ₹10 for children","8 to 10 AM or 4 to 6 PM","2-3 hours","Walking Trails|Glass House|Fossil Tree|Parking",4.3,"botanical|garden|nature|nilgiris"
Ooty Lake,boat_house,"Artificial lake surrounded by Eucalyptus trees with boating facilities and scenic views.",Ooty,Nilgiris,11.4123,76.6987,"9:00 AM - 6:00 PM","₹50-200 per boat","10 to 12 PM or 4 to 6 PM","2-3 hours","Boating|Mini Train|Parking|Food Stalls",4.2,"lake|boating|scenic|nilgiris
Kodaikanal Lake,boat_house,"Star-shaped artificial lake surrounded by lush green hills, perfect for boating and cycling.",Kodaikanal,Dindigul,10.2345,77.4876,"6:00 AM - 6:00 PM","₹100-300 per boat","8 to 10 AM or 4 to 6 PM","2-3 hours","Boating|Cycling|Horse Riding|Food Stalls",4.5,"lake|boating|scenic|kodaikanal"
Coaker's Walk,viewpoint,"Paved pedestrian path along the edge of steep slopes offering breathtaking valley views.",Kodaikanal,Dindigul,10.2123,77.4765,"7:00 AM - 7:00 PM",Free,"7 to 9 AM or 4 to 6 PM","1 hour","Walking Path|View Points|Telescope|Parking",4.4,"viewpoint|walking|scenic|kodaikanal"
Pillar Rocks,viewpoint,"Three giant rock pillars standing shoulder-to-shoulder, offering spectacular views.",Kodaikanal,Dindigul,10.1987,77.4987,"10:00 AM - 4:00 PM","₹5 per person","10 to 12 PM or 2 to 4 PM","1-2 hours","View Points|Photography|Parking|Snack Stall",4.3,"viewpoint|rocks|scenic|kodaikanal"
Bear Shola Falls,waterfall,"Seasonal waterfall near Kodaikanal, surrounded by dense forest and ideal for picnics.",Kodaikanal,Dindigul,10.2456,77.5123,"9:00 AM - 5:00 PM",Free,"After monsoon","1-2 hours","Trekking|Photography|Picnic Spot",3.9,"waterfall|forest|trekking|kodaikanal"
Munnar Tea Museum,museum,"Tata Tea Museum showcasing the history of tea plantation and processing in Munnar.",Munnar,Idukki,10.0876,77.0543,"9:00 AM - 4:00 PM","₹75 per person","10 to 12 PM or 2 to 4 PM","1-2 hours","Tea Processing Demo|Museum|Tea Tasting|Shopping",4.4,"tea|museum|processing|kerala"
Mattupetty Dam,dam,"Concrete dam built between mountains, popular for boating and horse riding.",Mattupetty,Munnar,10.0765,77.1345,"9:00 AM - 5:00 PM","₹50-100 per boat","10 to 12 PM or 3 to 5 PM","2-3 hours","Boating|Horse Riding|View Points|Parking",4.3,"dam|boating|scenic|munnar"
Eravikulam National Park,national_park,"Home to endangered Nilgiri Tahr, rolling hills carpeted with blue Neelakurinji flowers.",Munnar,Idukki,10.1234,77.0987,"7:30 AM - 4:00 PM","₹200-500 per person","7 to 9 AM or 2 to 4 PM","3-4 hours","Wildlife Safari|Trekking|View Points|Parking",4.6,"national park|wildlife|tahr|neelakurinji"
Anamudi Peak,trekking,"Highest peak in South India, offering challenging trek and spectacular views.",Eravikulam National Park,Munnar,10.1456,77.0876,"8:00 AM - 2:00 PM","₹1000-1500 per guide","8 to 10 AM","Full day","Trekking|Camping|Wildlife|Photography",4.7,"trekking|peak|adventure|highest"
Chinnar Wildlife Sanctuary,wildlife,"Unique thorny forest vegetation and diverse wildlife including grizzled giant squirrel.",Marayoor,Munnar,10.2345,77.1456,"6:00 AM - 6:00 PM","₹100-200 per person","6 to 8 AM or 3 to 5 PM","Full day","Wildlife Safari|Trekking|Tree House|Interpretation Center",4.4,"wildlife|sanctuary|trekking|forest"
Palani Murugan Temple,temple,"Ancient hill temple dedicated to Lord Murugan, one of the six abodes of Murugan.",Palani,Dindigul,10.4567,77.5123,"6:00 AM - 8:00 PM",Free,"6 to 8 AM or 4 to 6 PM","2-3 hours","Rope Car|Steps|Parking|Prasad Counter",4.6,"religious|murugan|hill|pilgrimage"
Siruvani Dam,dam,"Picturesque dam known for its sweet water and scenic surroundings.",Siruvani Road,Coimbatore,11.0234,76.6789,"9:00 AM - 5:00 PM","₹10 per person","4 to 6 PM","1-2 hours","View Points|Photography|Parking|Basic Facilities",4.2,"dam|scenic|water|nature"
Kallar Horticulture Farm,horticulture,"Government horticulture farm with diverse plant varieties and beautiful gardens.",Kallar,Mettupalayam,11.3123,76.9234,"9:00 AM - 5:00 PM","₹20 per person","9 to 11 AM or 3 to 5 PM","2-3 hours","Gardens|Plant Nursery|Photography|Parking",4.1,"horticulture|gardens|plants|education"
Bhavani Sagar Dam,dam,"Large dam on Bhavani River with scenic views and recreational facilities.",Bhavani Sagar,Erode,11.4567,77.6234,"9:00 AM - 6:00 PM","Free entry","4 to 6 PM","2-3 hours","View Points|Boating|Gardens|Parking",4.3,"dam|scenic|recreation|water"
Sathyamangalam Wildlife Sanctuary,wildlife,"Tiger reserve and wildlife sanctuary with diverse flora and fauna.",Sathyamangalam,Erode,11.5234,77.2345,"6:00 AM - 6:00 PM","₹200-400 per person","6 to 8 AM or 3 to 5 PM","Full day","Safari|Trekking|Wildlife|Photography",4.5,"wildlife|tiger|sanctuary|nature"
