name,category,description,address,area,latitude,longitude,openingHours,entryFee,bestTimeToVisit,duration,amenities,rating,tags,city
Annapoorna Hotel,restaurant,"Famous for authentic South Indian cuisine and traditional breakfast items.",R.S. Puram,R.S. Puram,11.0045,76.9612,"6:00 AM - 11:00 PM","Free entry","Breakfast and dinner hours","1-2 hours","Air Conditioning|Family Dining|Parking|Takeaway",4.3,"south indian|breakfast|traditional|family",Coimbatore
Sree Annapoorna,restaurant,"Popular restaurant serving traditional Tamil Nadu dishes and thali meals.",Gandhipuram,Gandhipuram,11.0187,76.9558,"7:00 AM - 11:00 PM","Free entry","Lunch and dinner","1-2 hours","Air Conditioning|Family Dining|Parking|Home Delivery",4.2,"tamil nadu|thali|traditional|lunch",Coimbatore
Shree Anandhaas,restaurant,"Authentic vegetarian restaurant known for its North and South Indian cuisine.",Peelamedu,Peelamedu,11.0256,76.9669,"11:00 AM - 3:30 PM, 6:30 PM - 10:30 PM","Free entry","Lunch and dinner","1-2 hours","Air Conditioning|Pure Vegetarian|Parking|Takeaway",4.4,"vegetarian|north indian|south indian|family",Coimbatore
Haribhavanam,restaurant,"Popular family restaurant serving delicious biryani and traditional dishes.",Town Hall,Town Hall,11.0012,76.9634,"11:00 AM - 11:00 PM","Free entry","Lunch and dinner","1-2 hours","Air Conditioning|Family Dining|Parking|Home Delivery",4.1,"biryani|family|traditional|dinner",Coimbatore
The French Door,restaurant,"Continental and fusion cuisine restaurant with elegant ambiance.",Race Course,Race Course,11.0123,76.9789,"12:00 PM - 3:30 PM, 7:00 PM - 11:30 PM","Free entry",Dinner,"2 hours","Air Conditioning|Bar|Parking|Fine Dining",4.5,"continental|fusion|fine dining|bar",Coimbatore
Barbeque Nation,restaurant,"Grill and buffet restaurant with live counter dining experience.",Brookfields Mall,R.S. Puram,11.0098,76.9654,"12:00 PM - 3:30 PM, 7:00 PM - 11:30 PM","Free entry","Lunch and dinner","2-3 hours","Air Conditioning|Live Grill|Buffet|Parking",4.3,"grill|buffet|live counter|family",Coimbatore
Chennai Silks Restaurant,restaurant,"Multi-cuisine dining restaurant attached to the famous silk showroom.",Oppanakara Street,Town Hall,11.0023,76.9645,"11:00 AM - 3:30 PM, 6:30 PM - 10:30 PM","Free entry","Lunch and dinner","1-2 hours","Air Conditioning|Family Dining|Parking|Multi-cuisine",4.0,"multi cuisine|family|lunch|dinner",Coimbatore
Pankajam Restaurant,restaurant,"Traditional Kerala cuisine restaurant near Palakkad Fort.",Fort Road,Palakkad, Kerala,10.7654,76.6543,"7:00 AM - 10:00 PM","Free entry","Lunch and dinner","1-2 hours","Air Conditioning|Family Dining|Parking",4.2,"kerala|traditional|family|lunch",Palakkad
Kairali Vegetarian Restaurant,restaurant,"Authentic Kerala vegetarian restaurant with traditional dishes.",Palakkad Town,Palakkad, Kerala,10.7789,76.6678,"8:00 AM - 10:00 PM","Free entry","All meals","1-2 hours","Air Conditioning|Pure Vegetarian|Parking",4.3,"kerala|vegetarian|traditional|family",Palakkad
Tea Garden Restaurant,restaurant,"Scenic restaurant amidst tea plantations offering fresh tea and snacks.",Coonoor,Nilgiris,11.3456,76.8234,"9:00 AM - 6:00 PM","Free entry","Tea time and lunch","1-2 hours","Garden View|Tea Tasting|Parking|Photography",4.5,"tea|garden|scenic|nilgiris",Coonoor
Ooty Continental Restaurant,restaurant,"Multi-cuisine restaurant in Ooty serving Indian, Chinese, and Continental dishes.",Ooty Town,Nilgiris,11.3987,76.7345,"8:00 AM - 10:30 PM","Free entry","All meals","1-2 hours","Air Conditioning|Family Dining|Parking|Home Delivery",4.1,"multi cuisine|family|tourist|ooty",Ooty
